region,instance_type
eu-north-1,m5.xlarge
eu-north-1,m5d.12xlarge
eu-north-1,m5d.16xlarge
eu-north-1,m5d.24xlarge
eu-north-1,m5d.2xlarge
eu-north-1,m5d.4xlarge
eu-north-1,m5d.8xlarge
eu-north-1,m5d.large
eu-north-1,m5d.metal
eu-north-1,m5d.xlarge
eu-north-1,m6g.12xlarge
eu-north-1,m6g.16xlarge
eu-north-1,m6g.2xlarge
eu-north-1,m6g.4xlarge
eu-north-1,m6g.8xlarge
eu-north-1,m6g.large
eu-north-1,m6g.medium
eu-north-1,m6g.metal
eu-north-1,m6g.xlarge
eu-north-1,m6gd.12xlarge
eu-north-1,m6gd.16xlarge
eu-north-1,m6gd.2xlarge
eu-north-1,m6gd.4xlarge
eu-north-1,m6gd.8xlarge
eu-north-1,m6gd.large
eu-north-1,m6gd.medium
eu-north-1,m6gd.metal
eu-north-1,m6gd.xlarge
eu-north-1,m6i.12xlarge
eu-north-1,m6i.16xlarge
eu-north-1,m6i.24xlarge
eu-north-1,m6i.2xlarge
eu-north-1,m6i.32xlarge
eu-north-1,m6i.4xlarge
eu-north-1,m6i.8xlarge
eu-north-1,m6i.large
eu-north-1,m6i.metal
eu-north-1,m6i.xlarge
eu-north-1,m6idn.12xlarge
eu-north-1,m6idn.16xlarge
eu-north-1,m6idn.24xlarge
eu-north-1,m6idn.2xlarge
eu-north-1,m6idn.32xlarge
eu-north-1,m6idn.4xlarge
eu-north-1,m6idn.8xlarge
eu-north-1,m6idn.large
eu-north-1,m6idn.metal
eu-north-1,m6idn.xlarge
eu-north-1,m6in.12xlarge
eu-north-1,m6in.16xlarge
eu-north-1,m6in.24xlarge
eu-north-1,m6in.2xlarge
eu-north-1,m6in.32xlarge
eu-north-1,m6in.4xlarge
eu-north-1,m6in.8xlarge
eu-north-1,m6in.large
eu-north-1,m6in.metal
eu-north-1,m6in.xlarge
eu-north-1,m7a.12xlarge
eu-north-1,m7a.16xlarge
eu-north-1,m7a.24xlarge
eu-north-1,m7a.2xlarge
eu-north-1,m7a.32xlarge
eu-north-1,m7a.48xlarge
eu-north-1,m7a.4xlarge
eu-north-1,m7a.8xlarge
eu-north-1,m7a.large
eu-north-1,m7a.medium
eu-north-1,m7a.metal-48xl
eu-north-1,m7a.xlarge
eu-north-1,m7g.12xlarge
eu-north-1,m7g.16xlarge
eu-north-1,m7g.2xlarge
eu-north-1,m7g.4xlarge
eu-north-1,m7g.8xlarge
